,startTime,time,open,high,low,close,volume
0,2021-03-05T02:00:00+00:00,1614909600000.0,1463.4,1482.4,1445.0,1481.0,61487443.7301
1,2021-03-05T03:00:00+00:00,1614913200000.0,1481.0,1485.1,1472.0,1482.9,26110438.9623
2,2021-03-05T04:00:00+00:00,1614916800000.0,1482.9,1487.7,1465.4,1466.2,31537277.1584
3,2021-03-05T05:00:00+00:00,1614920400000.0,1466.2,1479.8,1461.5,1473.4,28692323.8631
4,2021-03-05T06:00:00+00:00,1614924000000.0,1473.4,1484.2,1470.5,1480.4,25720203.4574
5,2021-03-05T07:00:00+00:00,1614927600000.0,1480.4,1487.2,1468.9,1475.1,30838384.158
6,2021-03-05T08:00:00+00:00,1614931200000.0,1475.1,1480.9,1441.9,1456.3,92578021.4532
7,2021-03-05T09:00:00+00:00,1614934800000.0,1456.3,1472.0,1453.1,1468.9,53680062.8162
8,2021-03-05T10:00:00+00:00,1614938400000.0,1468.9,1475.2,1462.1,1471.3,32601094.7317
9,2021-03-05T11:00:00+00:00,1614942000000.0,1471.3,1481.9,1471.0,1480.3,21797976.5737
10,2021-03-05T12:00:00+00:00,1614945600000.0,1480.3,1489.0,1460.9,1483.6,50892329.1828
11,2021-03-05T13:00:00+00:00,1614949200000.0,1483.6,1497.8,1471.3,1490.2,65880317.7833
12,2021-03-05T14:00:00+00:00,1614952800000.0,1490.2,1515.7,1487.5,1494.2,81999913.3239
13,2021-03-05T15:00:00+00:00,1614956400000.0,1494.2,1510.1,1481.8,1482.2,62064525.3369
14,2021-03-05T16:00:00+00:00,1614960000000.0,1482.2,1482.2,1450.0,1479.1,110891785.7242
15,2021-03-05T17:00:00+00:00,1614963600000.0,1479.1,1510.9,1475.1,1508.3,61673225.3166
16,2021-03-05T18:00:00+00:00,1614967200000.0,1508.3,1528.9,1505.1,1522.9,53109163.0033
17,2021-03-05T19:00:00+00:00,1614970800000.0,1522.9,1538.6,1517.9,1535.1,40472151.2161
18,2021-03-05T20:00:00+00:00,1614974400000.0,1535.1,1539.6,1526.9,1534.5,37248464.3979
19,2021-03-05T21:00:00+00:00,1614978000000.0,1534.5,1550.6,1529.2,1533.3,49613059.218
20,2021-03-05T22:00:00+00:00,1614981600000.0,1533.3,1551.4,1531.0,1537.7,32048522.1215
21,2021-03-05T23:00:00+00:00,1614985200000.0,1537.7,1542.4,1526.2,1530.0,37847589.1492
22,2021-03-06T00:00:00+00:00,1614988800000.0,1530.0,1550.9,1529.5,1544.2,44274989.8565
23,2021-03-06T01:00:00+00:00,1614992400000.0,1544.2,1548.8,1530.9,1535.5,29824405.4716
24,2021-03-06T02:00:00+00:00,1614996000000.0,1535.5,1542.5,1520.1,1538.3,21782006.9696
25,2021-03-06T03:00:00+00:00,1614999600000.0,1538.3,1539.8,1523.6,1533.0,26277193.5857
26,2021-03-06T04:00:00+00:00,1615003200000.0,1533.0,1534.0,1521.4,1531.4,21862203.346
27,2021-03-06T05:00:00+00:00,1615006800000.0,1531.4,1577.1,1523.1,1576.9,79094178.6753
28,2021-03-06T06:00:00+00:00,1615010400000.0,1576.9,1590.2,1572.6,1581.0,44830879.4524
29,2021-03-06T07:00:00+00:00,1615014000000.0,1581.0,1595.9,1580.6,1592.1,45471572.3686
30,2021-03-06T08:00:00+00:00,1615017600000.0,1592.1,1600.9,1576.4,1576.9,61306395.8746
31,2021-03-06T09:00:00+00:00,1615021200000.0,1577.0,1586.1,1564.1,1566.6,36271703.5062
32,2021-03-06T10:00:00+00:00,1615024800000.0,1566.8,1579.3,1562.8,1566.1,36057513.1187
33,2021-03-06T11:00:00+00:00,1615028400000.0,1566.1,1573.6,1558.2,1565.7,35895703.588
34,2021-03-06T12:00:00+00:00,1615032000000.0,1565.7,1567.5,1536.0,1543.0,59504536.1958
35,2021-03-06T13:00:00+00:00,1615035600000.0,1543.0,1544.9,1515.0,1529.5,62524874.4154
36,2021-03-06T14:00:00+00:00,1615039200000.0,1529.5,1548.4,1526.1,1542.6,31633760.523
37,2021-03-06T15:00:00+00:00,1615042800000.0,1542.6,1558.3,1540.6,1544.7,34208943.0144
38,2021-03-06T16:00:00+00:00,1615046400000.0,1544.7,1590.7,1539.9,1581.6,77828976.2217
39,2021-03-06T17:00:00+00:00,1615050000000.0,1581.6,1610.0,1578.0,1603.2,71372175.1663
40,2021-03-06T18:00:00+00:00,1615053600000.0,1603.2,1623.4,1601.6,1618.1,49081621.2139
41,2021-03-06T19:00:00+00:00,1615057200000.0,1618.1,1630.8,1610.6,1623.2,44117049.8188
42,2021-03-06T20:00:00+00:00,1615060800000.0,1623.3,1658.0,1623.3,1656.7,88598140.5349
43,2021-03-06T21:00:00+00:00,1615064400000.0,1656.7,1674.0,1638.6,1646.2,70708107.1195
44,2021-03-06T22:00:00+00:00,1615068000000.0,1646.2,1674.2,1638.8,1667.9,52986588.1056
45,2021-03-06T23:00:00+00:00,1615071600000.0,1667.9,1673.2,1648.2,1652.8,40431979.401
46,2021-03-07T00:00:00+00:00,1615075200000.0,1652.8,1689.8,1652.8,1672.8,108056166.224
47,2021-03-07T01:00:00+00:00,1615078800000.0,1672.8,1679.5,1637.7,1643.9,65527419.0449
48,2021-03-07T02:00:00+00:00,1615082400000.0,1643.9,1671.3,1642.3,1657.8,39327437.5731
49,2021-03-07T03:00:00+00:00,1615086000000.0,1657.8,1666.1,1644.0,1650.9,33000088.8774
50,2021-03-07T04:00:00+00:00,1615089600000.0,1650.9,1661.9,1648.8,1658.1,28903647.7543
51,2021-03-07T05:00:00+00:00,1615093200000.0,1658.1,1670.0,1649.3,1664.3,34466779.5832
52,2021-03-07T06:00:00+00:00,1615096800000.0,1664.3,1671.1,1650.9,1664.2,43822542.6798
53,2021-03-07T07:00:00+00:00,1615100400000.0,1664.2,1690.0,1658.3,1686.9,37801713.7428
54,2021-03-07T08:00:00+00:00,1615104000000.0,1686.9,1698.9,1667.7,1669.8,56810840.8664
55,2021-03-07T09:00:00+00:00,1615107600000.0,1669.8,1687.5,1669.8,1686.0,36087749.0723
56,2021-03-07T10:00:00+00:00,1615111200000.0,1686.0,1691.6,1671.0,1676.6,34805207.8299
57,2021-03-07T11:00:00+00:00,1615114800000.0,1676.6,1682.2,1661.9,1680.2,46315149.3704
58,2021-03-07T12:00:00+00:00,1615118400000.0,1680.2,1682.0,1660.5,1672.2,36305024.4551
59,2021-03-07T13:00:00+00:00,1615122000000.0,1672.1,1672.1,1657.8,1666.2,22837669.1672
60,2021-03-07T14:00:00+00:00,1615125600000.0,1666.2,1681.9,1631.0,1649.9,85425519.9366
61,2021-03-07T15:00:00+00:00,1615129200000.0,1649.9,1655.2,1636.1,1653.3,31664842.55
62,2021-03-07T16:00:00+00:00,1615132800000.0,1653.4,1678.2,1653.3,1669.9,44358840.4147
63,2021-03-07T17:00:00+00:00,1615136400000.0,1669.9,1679.2,1664.2,1677.4,24256516.6674
64,2021-03-07T18:00:00+00:00,1615140000000.0,1677.4,1677.7,1655.1,1656.4,26822570.1288
65,2021-03-07T19:00:00+00:00,1615143600000.0,1656.4,1663.7,1641.3,1658.9,31507059.4715
66,2021-03-07T20:00:00+00:00,1615147200000.0,1658.9,1659.0,1633.7,1650.5,37794441.6575
67,2021-03-07T21:00:00+00:00,1615150800000.0,1650.5,1666.8,1648.1,1665.2,23210596.1806
68,2021-03-07T22:00:00+00:00,1615154400000.0,1665.2,1687.1,1661.5,1681.1,26389863.4945
69,2021-03-07T23:00:00+00:00,1615158000000.0,1681.1,1736.2,1679.7,1728.2,107517189.3118
70,2021-03-08T00:00:00+00:00,1615161600000.0,1728.2,1752.4,1727.8,1743.8,148242784.4612
71,2021-03-08T01:00:00+00:00,1615165200000.0,1743.8,1755.0,1732.1,1739.3,52024140.259
72,2021-03-08T02:00:00+00:00,1615168800000.0,1739.3,1741.2,1713.8,1725.5,64769821.5236
73,2021-03-08T03:00:00+00:00,1615172400000.0,1725.5,1730.7,1713.4,1725.7,47058109.433
74,2021-03-08T04:00:00+00:00,1615176000000.0,1725.7,1731.9,1711.5,1730.0,41603851.7949
75,2021-03-08T05:00:00+00:00,1615179600000.0,1730.0,1758.5,1729.8,1752.9,70572446.5802
76,2021-03-08T06:00:00+00:00,1615183200000.0,1752.9,1756.8,1717.9,1723.4,63339187.761
77,2021-03-08T07:00:00+00:00,1615186800000.0,1723.4,1731.4,1685.3,1693.2,132672454.3138
78,2021-03-08T08:00:00+00:00,1615190400000.0,1693.2,1699.2,1668.0,1687.5,109210338.8482
79,2021-03-08T09:00:00+00:00,1615194000000.0,1687.5,1696.0,1671.9,1691.4,56813173.1919
80,2021-03-08T10:00:00+00:00,1615197600000.0,1691.4,1721.5,1682.4,1712.3,60263468.0937
81,2021-03-08T11:00:00+00:00,1615201200000.0,1712.3,1729.0,1705.2,1724.8,81212993.9625
82,2021-03-08T12:00:00+00:00,1615204800000.0,1724.8,1734.6,1706.9,1713.4,58064158.1493
83,2021-03-08T13:00:00+00:00,1615208400000.0,1713.4,1739.6,1713.1,1738.2,63907502.2558
84,2021-03-08T14:00:00+00:00,1615212000000.0,1738.2,1752.0,1712.0,1736.5,92020375.777
85,2021-03-08T15:00:00+00:00,1615215600000.0,1736.5,1755.0,1723.5,1744.9,89578438.6389
86,2021-03-08T16:00:00+00:00,1615219200000.0,1744.8,1750.9,1725.0,1731.4,59111733.5459
87,2021-03-08T17:00:00+00:00,1615222800000.0,1731.2,1743.6,1725.8,1736.6,41917843.7003
88,2021-03-08T18:00:00+00:00,1615226400000.0,1736.6,1749.5,1733.4,1742.3,40238240.9591
89,2021-03-08T19:00:00+00:00,1615230000000.0,1742.3,1782.9,1742.2,1776.5,88269047.7166
90,2021-03-08T20:00:00+00:00,1615233600000.0,1776.5,1781.0,1766.1,1773.7,48063197.3592
91,2021-03-08T21:00:00+00:00,1615237200000.0,1773.7,1795.4,1769.0,1791.5,41527965.4906
92,2021-03-08T22:00:00+00:00,1615240800000.0,1791.5,1796.5,1773.3,1790.4,32386351.1111
