roundId,price,startedAt,updatedAt,roundId
9.22E+19,3.08E+11,1632456859,1632456859,9.22E+19
9.22E+19,3.09E+11,1632459338,1632459338,9.22E+19
9.22E+19,3.07E+11,1632460208,1632460208,9.22E+19
9.22E+19,3.05E+11,1632461253,1632461253,9.22E+19
9.22E+19,3.07E+11,1632462545,1632462545,9.22E+19
9.22E+19,3.07E+11,1632462907,1632462907,9.22E+19
9.22E+19,3.09E+11,1632464190,1632464190,9.22E+19
9.22E+19,3.07E+11,1632465977,1632465977,9.22E+19
9.22E+19,3.07E+11,1632466526,1632466526,9.22E+19
9.22E+19,3.09E+11,1632467459,1632467459,9.22E+19
9.22E+19,3.11E+11,1632467889,1632467889,9.22E+19
9.22E+19,3.09E+11,1632468813,1632468813,9.22E+19
9.22E+19,3.11E+11,1632469811,1632469811,9.22E+19
9.22E+19,3.10E+11,1632470122,1632470122,9.22E+19
9.22E+19,3.10E+11,1632470469,1632470469,9.22E+19
9.22E+19,3.10E+11,1632473736,1632473736,9.22E+19
9.22E+19,3.08E+11,1632474067,1632474067,9.22E+19
9.22E+19,3.06E+11,1632474215,1632474215,9.22E+19
9.22E+19,3.04E+11,1632474369,1632474369,9.22E+19
9.22E+19,3.02E+11,1632474415,1632474415,9.22E+19
9.22E+19,3.00E+11,1632474795,1632474795,9.22E+19
9.22E+19,2.98E+11,1632474803,1632474803,9.22E+19
9.22E+19,2.96E+11,1632474837,1632474837,9.22E+19
9.22E+19,2.94E+11,1632475072,1632475072,9.22E+19
9.22E+19,2.92E+11,1632475576,1632475576,9.22E+19
9.22E+19,2.90E+11,1632475790,1632475790,9.22E+19
9.22E+19,2.92E+11,1632476375,1632476375,9.22E+19
9.22E+19,2.90E+11,1632476876,1632476876,9.22E+19
9.22E+19,2.89E+11,1632477353,1632477353,9.22E+19
9.22E+19,2.88E+11,1632477571,1632477571,9.22E+19
9.22E+19,2.89E+11,1632478591,1632478591,9.22E+19
9.22E+19,2.88E+11,1632479680,1632479680,9.22E+19
9.22E+19,2.86E+11,1632479946,1632479946,9.22E+19
9.22E+19,2.84E+11,1632480759,1632480759,9.22E+19
9.22E+19,2.84E+11,1632480920,1632480920,9.22E+19
9.22E+19,2.82E+11,1632481666,1632481666,9.22E+19
9.22E+19,2.81E+11,1632481735,1632481735,9.22E+19
9.22E+19,2.79E+11,1632482003,1632482003,9.22E+19
9.22E+19,2.77E+11,1632482080,1632482080,9.22E+19
9.22E+19,2.79E+11,1632482692,1632482692,9.22E+19
9.22E+19,2.80E+11,1632482969,1632482969,9.22E+19
9.22E+19,2.79E+11,1632483572,1632483572,9.22E+19
9.22E+19,2.80E+11,1632483880,1632483880,9.22E+19
9.22E+19,2.82E+11,1632484145,1632484145,9.22E+19
9.22E+19,2.83E+11,1632484264,1632484264,9.22E+19
9.22E+19,2.83E+11,1632484508,1632484508,9.22E+19
9.22E+19,2.81E+11,1632485403,1632485403,9.22E+19
9.22E+19,2.83E+11,1632486309,1632486309,9.22E+19
9.22E+19,2.84E+11,1632486595,1632486595,9.22E+19
9.22E+19,2.83E+11,1632487729,1632487729,9.22E+19
9.22E+19,2.81E+11,1632488178,1632488178,9.22E+19
9.22E+19,2.81E+11,1632488740,1632488740,9.22E+19
9.22E+19,2.80E+11,1632488801,1632488801,9.22E+19
9.22E+19,2.82E+11,1632490540,1632490540,9.22E+19
9.22E+19,2.84E+11,1632490740,1632490740,9.22E+19
9.22E+19,2.85E+11,1632491014,1632491014,9.22E+19
9.22E+19,2.86E+11,1632491781,1632491781,9.22E+19
9.22E+19,2.88E+11,1632492239,1632492239,9.22E+19
9.22E+19,2.89E+11,1632492579,1632492579,9.22E+19
9.22E+19,2.92E+11,1632493955,1632493955,9.22E+19
9.22E+19,2.91E+11,1632495313,1632495313,9.22E+19
9.22E+19,2.90E+11,1632495724,1632495724,9.22E+19
9.22E+19,2.88E+11,1632497615,1632497615,9.22E+19
9.22E+19,2.87E+11,1632498217,1632498217,9.22E+19
9.22E+19,2.87E+11,1632499059,1632499059,9.22E+19
9.22E+19,2.86E+11,1632499227,1632499227,9.22E+19
9.22E+19,2.88E+11,1632499488,1632499488,9.22E+19
9.22E+19,2.89E+11,1632499590,1632499590,9.22E+19
9.22E+19,2.91E+11,1632502249,1632502249,9.22E+19
9.22E+19,2.91E+11,1632502528,1632502528,9.22E+19
9.22E+19,2.89E+11,1632503273,1632503273,9.22E+19
9.22E+19,2.88E+11,1632504990,1632504990,9.22E+19
9.22E+19,2.88E+11,1632506128,1632506128,9.22E+19
9.22E+19,2.90E+11,1632507523,1632507523,9.22E+19
9.22E+19,2.91E+11,1632508086,1632508086,9.22E+19
9.22E+19,2.89E+11,1632509011,1632509011,9.22E+19
9.22E+19,2.91E+11,1632509735,1632509735,9.22E+19
9.22E+19,2.90E+11,1632513315,1632513315,9.22E+19
9.22E+19,2.91E+11,1632514093,1632514093,9.22E+19
9.22E+19,2.93E+11,1632514695,1632514695,9.22E+19
9.22E+19,2.94E+11,1632516293,1632516293,9.22E+19
9.22E+19,2.95E+11,1632517004,1632517004,9.22E+19
9.22E+19,2.96E+11,1632517726,1632517726,9.22E+19
9.22E+19,2.96E+11,1632520604,1632520604,9.22E+19
9.22E+19,2.96E+11,1632524132,1632524132,9.22E+19
9.22E+19,2.95E+11,1632526240,1632526240,9.22E+19
9.22E+19,2.93E+11,1632526680,1632526680,9.22E+19
9.22E+19,2.93E+11,1632527717,1632527717,9.22E+19
9.22E+19,2.94E+11,1632529392,1632529392,9.22E+19
9.22E+19,2.94E+11,1632531342,1632531342,9.22E+19
9.22E+19,2.90E+11,1632533118,1632533118,9.22E+19
9.22E+19,2.92E+11,1632534952,1632534952,9.22E+19
9.22E+19,2.91E+11,1632538525,1632538525,9.22E+19
9.22E+19,2.92E+11,1632542125,1632542125,9.22E+19
9.22E+19,2.94E+11,1632542742,1632542742,9.22E+19
9.22E+19,2.94E+11,1632545734,1632545734,9.22E+19
9.22E+19,2.92E+11,1632546959,1632546959,9.22E+19
9.22E+19,2.93E+11,1632549329,1632549329,9.22E+19
9.22E+19,2.93E+11,1632552911,1632552911,9.22E+19
9.22E+19,2.93E+11,1632553126,1632553126,9.22E+19
9.22E+19,2.93E+11,1632553153,1632553153,9.22E+19
9.22E+19,2.92E+11,1632554899,1632554899,9.22E+19
