market,markTwap,indexTwap,evt_block_time
SOLUSD,99.4018,99.9330,2022-03-01T14:51:59+00:00
ETHUSD,2995.0008,2993.9303,2022-03-01T14:51:44+00:00
SOLUSD,99.4217,99.9582,2022-03-01T14:51:44+00:00
SOLUSD,99.4415,99.9927,2022-03-01T14:51:29+00:00
SOLUSD,99.4614,100.0198,2022-03-01T14:50:59+00:00
SOLUSD,99.4813,100.0333,2022-03-01T14:50:44+00:00
SOLUSD,99.5012,100.0469,2022-03-01T14:50:29+00:00
ETHUSD,2995.3003,2993.7678,2022-03-01T14:50:29+00:00
SOLUSD,99.5112,100.0604,2022-03-01T14:50:14+00:00
SOLUSD,99.5311,100.1085,2022-03-01T14:49:38+00:00
SOLUSD,99.5311,100.2315,2022-03-01T14:48:16+00:00
SOLUSD,99.5410,100.2570,2022-03-01T14:47:59+00:00
SOLUSD,99.5510,100.2795,2022-03-01T14:47:44+00:00
ETHUSD,2994.7013,2993.9266,2022-03-01T14:47:29+00:00
SOLUSD,99.5609,100.3020,2022-03-01T14:47:29+00:00
SOLUSD,99.5809,100.3245,2022-03-01T14:47:14+00:00
SOLUSD,99.6805,100.3935,2022-03-01T14:46:28+00:00
SOLUSD,99.7303,100.4265,2022-03-01T14:46:06+00:00
ETHUSD,2997.9971,2997.5006,2022-03-01T14:45:36+00:00
ETHUSD,2998.2969,2997.8741,2022-03-01T14:45:21+00:00
SOLUSD,99.8201,100.4940,2022-03-01T14:45:21+00:00
SOLUSD,99.8501,100.5165,2022-03-01T14:45:06+00:00
SOLUSD,99.8700,100.5390,2022-03-01T14:44:51+00:00
ETHUSD,2998.8966,2998.6211,2022-03-01T14:44:51+00:00
SOLUSD,99.9000,100.5616,2022-03-01T14:44:36+00:00
ETHUSD,2999.4964,2998.9946,2022-03-01T14:44:36+00:00
SOLUSD,100.0300,100.6846,2022-03-01T14:43:14+00:00
SOLUSD,100.0600,100.7071,2022-03-01T14:42:59+00:00
ETHUSD,3002.7975,3001.7834,2022-03-01T14:42:44+00:00
SOLUSD,100.1200,100.7521,2022-03-01T14:42:29+00:00
SOLUSD,100.1501,100.7791,2022-03-01T14:42:11+00:00
SOLUSD,100.1801,100.8016,2022-03-01T14:41:56+00:00
SOLUSD,100.2202,100.8316,2022-03-01T14:41:36+00:00
ETHUSD,3005.5011,3004.1033,2022-03-01T14:41:05+00:00
SOLUSD,100.2803,100.8781,2022-03-01T14:41:05+00:00
ETHUSD,3005.8017,3004.3621,2022-03-01T14:40:48+00:00
ETHUSD,3006.1023,3004.5904,2022-03-01T14:40:33+00:00
SOLUSD,100.3305,100.9261,2022-03-01T14:40:33+00:00
SOLUSD,100.3606,100.9771,2022-03-01T14:39:59+00:00
SOLUSD,100.3807,100.9997,2022-03-01T14:39:44+00:00
ETHUSD,3006.4029,3005.3363,2022-03-01T14:39:44+00:00
ETHUSD,3007.0042,3005.7930,2022-03-01T14:39:14+00:00
SOLUSD,100.4509,101.0897,2022-03-01T14:38:44+00:00
ETHUSD,3007.6056,3006.8528,2022-03-01T14:38:29+00:00
SOLUSD,100.4610,101.1122,2022-03-01T14:38:29+00:00
ETHUSD,3007.9064,3007.3094,2022-03-01T14:38:14+00:00
SOLUSD,100.4811,101.1347,2022-03-01T14:38:14+00:00
ETHUSD,3008.5080,3007.8966,2022-03-01T14:37:57+00:00
ETHUSD,3008.8088,3008.4147,2022-03-01T14:37:42+00:00
ETHUSD,3009.1097,3009.0018,2022-03-01T14:37:25+00:00
ETHUSD,3009.7116,3009.6696,2022-03-01T14:37:09+00:00
SOLUSD,100.5716,101.2331,2022-03-01T14:37:09+00:00
ETHUSD,3010.9156,3011.1789,2022-03-01T14:36:33+00:00
SOLUSD,100.6621,101.2648,2022-03-01T14:36:16+00:00
ETHUSD,3012.7226,3012.8811,2022-03-01T14:35:58+00:00
SOLUSD,100.6923,101.2755,2022-03-01T14:35:58+00:00
ETHUSD,3013.3252,3013.6107,2022-03-01T14:35:43+00:00
ETHUSD,3013.9279,3014.3402,2022-03-01T14:35:28+00:00
ETHUSD,3015.1337,3015.7993,2022-03-01T14:34:58+00:00
ETHUSD,3015.7367,3016.5289,2022-03-01T14:34:43+00:00
SOLUSD,100.8535,101.2934,2022-03-01T14:34:43+00:00
SOLUSD,100.8838,101.2903,2022-03-01T14:34:28+00:00
ETHUSD,3016.6415,3017.2584,2022-03-01T14:34:28+00:00
SOLUSD,100.9040,101.2871,2022-03-01T14:34:13+00:00
ETHUSD,3017.2449,3018.1980,2022-03-01T14:34:13+00:00
SOLUSD,100.9443,101.2840,2022-03-01T14:33:58+00:00
ETHUSD,3018.1501,3019.1376,2022-03-01T14:33:58+00:00
SOLUSD,100.9746,101.2809,2022-03-01T14:33:43+00:00
ETHUSD,3019.9615,3020.6670,2022-03-01T14:33:28+00:00
SOLUSD,101.0251,101.2778,2022-03-01T14:33:28+00:00
ETHUSD,3020.5655,3021.2597,2022-03-01T14:33:13+00:00
SOLUSD,101.0554,101.2746,2022-03-01T14:33:13+00:00
ETHUSD,3021.1696,3021.8525,2022-03-01T14:32:58+00:00
SOLUSD,101.0858,101.2715,2022-03-01T14:32:58+00:00
ETHUSD,3021.7739,3022.1861,2022-03-01T14:32:43+00:00
SOLUSD,101.1161,101.2684,2022-03-01T14:32:43+00:00
ETHUSD,3022.6805,3022.5198,2022-03-01T14:32:28+00:00
SOLUSD,101.1363,101.2652,2022-03-01T14:32:28+00:00
SOLUSD,101.1565,101.2621,2022-03-01T14:32:13+00:00
ETHUSD,3022.9828,3022.7256,2022-03-01T14:32:13+00:00
ETHUSD,3023.2851,3022.9315,2022-03-01T14:31:58+00:00
SOLUSD,101.1667,101.2590,2022-03-01T14:31:58+00:00
SOLUSD,101.1869,101.2475,2022-03-01T14:31:03+00:00
SOLUSD,101.2172,101.2375,2022-03-01T14:30:15+00:00
ETHUSD,3024.4946,3024.5512,2022-03-01T14:30:00+00:00
SOLUSD,101.2679,101.2135,2022-03-01T14:28:20+00:00
SOLUSD,101.2679,101.2104,2022-03-01T14:28:05+00:00
SOLUSD,101.2679,101.2035,2022-03-01T14:27:32+00:00
ETHUSD,3025.0995,3027.6533,2022-03-01T14:26:14+00:00
SOLUSD,101.2679,101.1839,2022-03-01T14:25:58+00:00
SOLUSD,101.2780,101.1686,2022-03-01T14:24:45+00:00
SOLUSD,101.2881,101.1622,2022-03-01T14:24:14+00:00
SOLUSD,101.2982,101.1540,2022-03-01T14:23:35+00:00
SOLUSD,101.3185,101.1455,2022-03-01T14:22:54+00:00
ETHUSD,3027.8232,3030.3247,2022-03-01T14:22:39+00:00
ETHUSD,3028.1260,3030.7076,2022-03-01T14:22:08+00:00
SOLUSD,101.3489,101.1359,2022-03-01T14:22:08+00:00
ETHUSD,3028.4288,3031.1720,2022-03-01T14:21:34+00:00
SOLUSD,101.3692,101.1200,2022-03-01T14:21:16+00:00
SOLUSD,101.3793,101.1200,2022-03-01T14:20:58+00:00
ETHUSD,3028.7316,3031.4153,2022-03-01T14:20:58+00:00
ETHUSD,3028.7316,3031.4192,2022-03-01T14:20:43+00:00
SOLUSD,101.3895,101.1200,2022-03-01T14:20:07+00:00
SOLUSD,101.4097,101.1200,2022-03-01T14:17:50+00:00
SOLUSD,101.3996,101.1200,2022-03-01T14:16:59+00:00
SOLUSD,101.3895,101.1200,2022-03-01T14:16:43+00:00
SOLUSD,101.3692,101.1200,2022-03-01T14:16:12+00:00
ETHUSD,3029.0345,3030.9584,2022-03-01T14:15:51+00:00
ETHUSD,3028.7316,3030.6798,2022-03-01T14:15:16+00:00
SOLUSD,101.3286,101.1200,2022-03-01T14:15:16+00:00
SOLUSD,101.2780,101.0861,2022-03-01T14:13:00+00:00
ETHUSD,3028.7316,3030.1859,2022-03-01T14:12:03+00:00
ETHUSD,3028.7316,3029.4707,2022-03-01T14:10:45+00:00
SOLUSD,101.2982,100.9788,2022-03-01T14:10:28+00:00
ETHUSD,3028.4288,3028.8001,2022-03-01T14:09:36+00:00
SOLUSD,101.3084,100.9068,2022-03-01T14:08:46+00:00
SOLUSD,101.3084,100.8962,2022-03-01T14:08:31+00:00
SOLUSD,101.2679,100.8440,2022-03-01T14:07:17+00:00
SOLUSD,101.2375,100.8207,2022-03-01T14:06:44+00:00
SOLUSD,101.2172,100.7995,2022-03-01T14:06:14+00:00
SOLUSD,101.2071,100.7875,2022-03-01T14:05:57+00:00
SOLUSD,101.1768,100.7755,2022-03-01T14:05:40+00:00
SOLUSD,101.1565,100.7649,2022-03-01T14:05:25+00:00
SOLUSD,100.9242,100.6660,2022-03-01T14:03:05+00:00
SOLUSD,100.8939,100.6555,2022-03-01T14:02:50+00:00
ETHUSD,3019.9615,3019.7965,2022-03-01T14:02:50+00:00
SOLUSD,100.8636,100.6427,2022-03-01T14:02:32+00:00
SOLUSD,100.8435,100.6322,2022-03-01T14:02:17+00:00
ETHUSD,3018.4520,3018.1546,2022-03-01T14:02:00+00:00
ETHUSD,3017.8484,3017.6291,2022-03-01T14:01:44+00:00
SOLUSD,100.7729,100.5983,2022-03-01T14:01:29+00:00
ETHUSD,3016.9432,3016.8026,2022-03-01T14:01:14+00:00
ETHUSD,3016.3399,3016.4306,2022-03-01T14:00:58+00:00
SOLUSD,100.7427,100.5764,2022-03-01T14:00:58+00:00
ETHUSD,3014.2293,3013.7963,2022-03-01T13:59:43+00:00
SOLUSD,100.6420,100.5664,2022-03-01T13:58:57+00:00
ETHUSD,3010.9156,3010.3009,2022-03-01T13:58:12+00:00
SOLUSD,100.5716,100.6227,2022-03-01T13:57:42+00:00
SOLUSD,100.5313,100.6452,2022-03-01T13:57:12+00:00
ETHUSD,3008.5080,3007.6469,2022-03-01T13:57:12+00:00
ETHUSD,3007.3049,3006.3451,2022-03-01T13:56:41+00:00
SOLUSD,100.4710,100.6812,2022-03-01T13:56:24+00:00
SOLUSD,100.4610,100.6925,2022-03-01T13:56:09+00:00
ETHUSD,3004.5997,3003.8022,2022-03-01T13:55:35+00:00
ETHUSD,3003.9988,3003.0701,2022-03-01T13:55:16+00:00
